,metric,VertLevel,Label,p-values,p-value_type,p-values_FDR_corrected
125,FA,4,white matter,0.6352685524433388,Age,0.7260212027923872
126,FA,5,white matter,0.4091367122812878,UPDRSIII,0.5465759863698235
127,FA,5,white matter,0.03579957577436064,Age,0.23754460389132567
128,FA,2,dorsal columns,0.008864653298104897,UPDRSIII,0.058083353030929465
129,FA,2,dorsal columns,0.28531463321320916,Age,0.3511564716470267
130,FA,3,dorsal columns,0.006864328687864518,UPDRSIII,0.058083353030929465
131,FA,3,dorsal columns,0.08376879793344381,Age,0.23754460389132567
132,FA,4,dorsal columns,0.40993198977736767,UPDRSIII,0.5465759863698235
133,FA,4,dorsal columns,0.05155817978340204,Age,0.23754460389132567
134,FA,5,dorsal columns,0.3495615418996786,UPDRSIII,0.5465759863698235
135,FA,5,dorsal columns,0.010692267045101633,Age,0.17107627272162612
136,FA,2,ventral funiculi,0.26058045237896993,UPDRSIII,0.5211609047579399
137,FA,2,ventral funiculi,0.26214683572762776,Age,0.3511564716470267
138,FA,3,ventral funiculi,0.014520838257732366,UPDRSIII,0.058083353030929465
139,FA,3,ventral funiculi,0.7553923981971007,Age,0.8057518914102407
140,FA,4,ventral funiculi,0.7828237444489149,UPDRSIII,0.8192618621291061
141,FA,4,ventral funiculi,0.265759630880207,Age,0.3511564716470267
142,FA,5,ventral funiculi,0.8192618621291061,UPDRSIII,0.8192618621291061
143,FA,5,ventral funiculi,0.24971147603942104,Age,0.3511564716470267
144,FA,2,lateral funiculi,0.17987716760791375,UPDRSIII,0.41114781167523146
145,FA,2,lateral funiculi,0.08693792560252868,Age,0.23754460389132567
146,FA,3,lateral funiculi,0.0626343716786156,UPDRSIII,0.16702499114297495
147,FA,3,lateral funiculi,0.2232432533899422,Age,0.3511564716470267
148,FA,4,lateral funiculi,0.6070946426235739,UPDRSIII,0.7068078660235969
149,FA,4,lateral funiculi,0.9811380026029002,Age,0.9811380026029002
150,FA,5,lateral funiculi,0.3173190328174458,UPDRSIII,0.5465759863698235
151,FA,5,lateral funiculi,0.08907922645924712,Age,0.23754460389132567
152,MD,2,white matter,0.5072491537377839,UPDRSIII,0.9943595487508833
153,MD,2,white matter,0.9187807291037331,Age,0.9314266707069458
154,MD,3,white matter,0.9897780924638239,UPDRSIII,0.9943595487508833
155,MD,3,white matter,0.830011070800988,Age,0.9314266707069458
156,MD,4,white matter,0.42671289177877714,UPDRSIII,0.9943595487508833
157,MD,4,white matter,0.6928060954632205,Age,0.9314266707069458
158,MD,5,white matter,0.9094753076322352,UPDRSIII,0.9943595487508833
159,MD,5,white matter,0.37529695053646106,Age,0.9314266707069458
160,MD,2,dorsal columns,0.4818701575112374,UPDRSIII,0.9943595487508833
161,MD,2,dorsal columns,0.8969104515665238,Age,0.9314266707069458
162,MD,3,dorsal columns,0.8586653146199658,UPDRSIII,0.9943595487508833
163,MD,3,dorsal columns,0.8015044040058416,Age,0.9314266707069458
164,MD,4,dorsal columns,0.48681119704008347,UPDRSIII,0.9943595487508833
165,MD,4,dorsal columns,0.7511970567343496,Age,0.9314266707069458
166,MD,5,dorsal columns,0.9943595487508833,UPDRSIII,0.9943595487508833
167,MD,5,dorsal columns,0.4251334175941932,Age,0.9314266707069458
168,MD,2,ventral funiculi,0.23353832948640024,UPDRSIII,0.9943595487508833
169,MD,2,ventral funiculi,0.7182648312679271,Age,0.9314266707069458
170,MD,3,ventral funiculi,0.8123905303590332,UPDRSIII,0.9943595487508833
171,MD,3,ventral funiculi,0.622622377287653,Age,0.9314266707069458
172,MD,4,ventral funiculi,0.42376464103977385,UPDRSIII,0.9943595487508833
173,MD,4,ventral funiculi,0.4658279634311707,Age,0.9314266707069458
174,MD,5,ventral funiculi,0.47316452287813804,UPDRSIII,0.9943595487508833
175,MD,5,ventral funiculi,0.2359505540648924,Age,0.9314266707069458
176,MD,2,lateral funiculi,0.7404425933064263,UPDRSIII,0.9943595487508833
177,MD,2,lateral funiculi,0.85405301718898,Age,0.9314266707069458
178,MD,3,lateral funiculi,0.8063676573696994,UPDRSIII,0.9943595487508833
179,MD,3,lateral funiculi,0.9314266707069458,Age,0.9314266707069458
180,MD,4,lateral funiculi,0.40117327248372314,UPDRSIII,0.9943595487508833
181,MD,4,lateral funiculi,0.7679061766065922,Age,0.9314266707069458
182,MD,5,lateral funiculi,0.9188655141913806,UPDRSIII,0.9943595487508833
183,MD,5,lateral funiculi,0.4456973630503377,Age,0.9314266707069458
184,RD,2,white matter,0.07734694392894934,UPDRSIII,0.4127341390178565
185,RD,2,white matter,0.3896820529383338,Age,0.5645978426169468
186,RD,3,white matter,0.24582972582920878,UPDRSIII,0.6001248301284631
187,RD,3,white matter,0.31834044397279415,Age,0.5645978426169468
188,RD,4,white matter,0.7211086612373578,UPDRSIII,0.8206403497957081
189,RD,4,white matter,0.5679529257548999,Age,0.6990189855444922
190,RD,5,white matter,0.7109920166152781,UPDRSIII,0.8206403497957081
191,RD,5,white matter,0.10784285619881996,Age,0.5645978426169468
192,RD,2,dorsal columns,0.02740261569083315,UPDRSIII,0.4127341390178565
193,RD,2,dorsal columns,0.3700301123719515,Age,0.5645978426169468
194,RD,3,dorsal columns,0.0869327451962891,UPDRSIII,0.4127341390178565
195,RD,3,dorsal columns,0.2020391421219775,Age,0.5645978426169468
196,RD,4,dorsal columns,0.8961146892395464,UPDRSIII,0.8961146892395464
197,RD,4,dorsal columns,0.2834233115023079,Age,0.5645978426169468
198,RD,5,dorsal columns,0.5344311689501293,UPDRSIII,0.7171392089672645
199,RD,5,dorsal columns,0.06265540029462335,Age,0.5645978426169468
200,RD,2,ventral funiculi,0.10318353475446412,UPDRSIII,0.4127341390178565
201,RD,2,ventral funiculi,0.7866115392870595,Age,0.8108530936759205
202,RD,3,ventral funiculi,0.2625546131812026,UPDRSIII,0.6001248301284631
203,RD,3,ventral funiculi,0.42344838196271006,Age,0.5645978426169468
204,RD,4,ventral funiculi,0.4799076287856656,UPDRSIII,0.7171392089672645
205,RD,4,ventral funiculi,0.6705357731160723,Age,0.7663265978469397
206,RD,5,ventral funiculi,0.5378544067254484,UPDRSIII,0.7171392089672645
207,RD,5,ventral funiculi,0.13048558725235238,Age,0.5645978426169468
208,RD,2,lateral funiculi,0.24015982838983682,UPDRSIII,0.6001248301284631
209,RD,2,lateral funiculi,0.37178046291702804,Age,0.5645978426169468
210,RD,3,lateral funiculi,0.4769739662210003,UPDRSIII,0.7171392089672645
211,RD,3,lateral funiculi,0.41008177972587234,Age,0.5645978426169468
212,RD,4,lateral funiculi,0.7693503279334764,UPDRSIII,0.8206403497957081
213,RD,4,lateral funiculi,0.8108530936759205,Age,0.8108530936759205
214,RD,5,lateral funiculi,0.5223930623171759,UPDRSIII,0.7171392089672645
215,RD,5,lateral funiculi,0.1953298396810245,Age,0.5645978426169468
216,AD,2,white matter,0.7056575511745264,UPDRSIII,0.7202809696560972
217,AD,2,white matter,0.40399135873845216,Age,0.9066526496034355
218,AD,3,white matter,0.39765325173515353,UPDRSIII,0.7202809696560972
219,AD,3,white matter,0.7061080678369527,Age,0.9066526496034355
220,AD,4,white matter,0.28940644657185294,UPDRSIII,0.7202809696560972
221,AD,4,white matter,0.8214962679309603,Age,0.9066526496034355
222,AD,5,white matter,0.6175353499855192,UPDRSIII,0.7202809696560972
223,AD,5,white matter,0.8403731916581039,Age,0.9066526496034355
224,AD,2,dorsal columns,0.555168009951688,UPDRSIII,0.7202809696560972
225,AD,2,dorsal columns,0.6484251277406633,Age,0.9066526496034355
226,AD,3,dorsal columns,0.4073255187106888,UPDRSIII,0.7202809696560972
227,AD,3,dorsal columns,0.6581454864412395,Age,0.9066526496034355
228,AD,4,dorsal columns,0.31258546305926654,UPDRSIII,0.7202809696560972
229,AD,4,dorsal columns,0.8094207944379812,Age,0.9066526496034355
230,AD,5,dorsal columns,0.6037271248188019,UPDRSIII,0.7202809696560972
